"受注日","受注時刻","法人コード","法人名漢字","法人名カナ","店舗コード","店舗名漢字","店舗名カナ","仕入先コード","仕入先名漢字","仕入先名カナ","出荷業務仕入先コード","伝票区分","伝票番号","行番号","発注日","納品予定日","発注データ有効期限","EDI発注区分","発注形態区分","発注形態名称漢字","予備（数値）","本部発注区分","部門コード","部門名漢字","部門名カナ","ラインコード","クラスコード","ロケーションコード","商品コード区分","ＪＡＮコード","商品コード","オプション使用欄","ＧＴＩＮ","品名漢字","品名カナ","規格名漢字","規格名カナ","発注数量","最小発注単位数量","発注単位名称漢字","発注単位名称カナ","総額取引区分","原単価(税抜)","原単価(税込)","原価金額(税抜)","原価金額(税込)","税額","税区分","税率","売単価（税抜）","売単価（税込）","特価区分","PB区分","原価区分","用度品区分","納期回答区分","回答納期","色名カナ","柄名カナ","サイズ名カナ","広告コード","伝票出力単位","納品先店舗コード","納品先店舗名漢字","納品先店舗名カナ","納品場所コード","納品場所名漢字","納品場所名カナ","便区分","センター経由区分","センターコード","センター名漢字","センター名カナ"
"20160602","200703","4","Ｋナフコ　　　　　　","ｶ) ﾅﾌｺ         ","130","玖珂店　　　　　　　","ｸｶﾞﾃﾝ         ","249706","㈱ジー・オー・ディ　","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ ","249706","1","1874585","1","20160602","20160604","20160803","0","10","補充　","0","0","9","エクステリア　　　　","ｴｸｽﾃﾘｱ         ","7","3","0","0","2100205044033","20504403",,,"平板コンクリート　　","ﾍｲﾊﾞﾝｺﾝｸﾘｰﾄ 300ｶｸ        ","３００角　　　　　　","300X300X60 ﾔｸ12.4kg      ","48","48","ケ　　　","ｹ  ","0","250","270","12000","12960","960","1","0.08","366","395","0","0","0","0","0",,"      ","      ","     ","0","0","130","玖珂店　　　　　　　","ｸｶﾞﾃﾝ         ","1","資材館","ｼｻﾞｲｶﾝ","0","0","0","　　　　　　　　　　","               "
"20160602","200703","4","Ｋナフコ　　　　　　","ｶ) ﾅﾌｺ         ","130","玖珂店　　　　　　　","ｸｶﾞﾃﾝ         ","249706","㈱ジー・オー・ディ　","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ ","249706","1","1874596","1","20160602","20160604","20160803","0","10","補充　","0","0","9","エクステリア　　　　","ｴｸｽﾃﾘｱ         ","7","10","0","0","2100205041377","20504137",,,"１ｍＵ字溝６０本体　","1mUｼﾞｺｳ60ﾎﾝﾀｲ            ","内径約６０×６０×１","ﾅｲｹｲﾔｸ60*60*600 ﾔｸ12kg   ","33","33","ケ　　　","ｹ  ","0","630","680.4","20790","22453","1663","1","0.08","908","980","0","0","0","0","0",,"      ","      ","     ","0","0","130","玖珂店　　　　　　　","ｸｶﾞﾃﾝ         ","1","資材館","ｼｻﾞｲｶﾝ","0","0","0","　　　　　　　　　　","               "
"20160602","200703","4","Ｋナフコ　　　　　　","ｶ) ﾅﾌｺ         ","130","玖珂店　　　　　　　","ｸｶﾞﾃﾝ         ","249706","㈱ジー・オー・ディ　","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ ","249706","1","1874600","1","20160602","20160604","20160803","0","10","補充　","0","0","9","エクステリア　　　　","ｴｸｽﾃﾘｱ         ","7","10","0","0","2100205041759","20504175",,,"溜桝落蓋式１８０本体","ﾀﾒﾏｽｵﾄｼﾌﾞﾀｼｷ180ﾎﾝﾀｲ      ","内径約１８０×１８０","ﾅｲｹｲﾔｸ180*180*277 ﾔｸ26kg ","2","1","ケ　　　","ｹ  ","0","770","831.6","1540","1663","123","1","0.08","903","975","0","0","0","0","0",,"      ","      ","     ","0","0","130","玖珂店　　　　　　　","ｸｶﾞﾃﾝ         ","1","資材館","ｼｻﾞｲｶﾝ","0","0","0","　　　　　　　　　　","               "
"20160602","200703","4","Ｋナフコ　　　　　　","ｶ) ﾅﾌｺ         ","130","玖珂店　　　　　　　","ｸｶﾞﾃﾝ         ","249706","㈱ジー・オー・ディ　","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ ","249706","1","1874611","1","20160602","20160604","20160803","0","30","広告　","0","0","9","エクステリア　　　　","ｴｸｽﾃﾘｱ         ","8","7","0","0","4573244730027","20452445",,,"ノーパンクタイヤ　　","ﾉｰﾊﾟﾝｸﾀｲﾔ                ","一輪車用　　　　　　","ｲﾁﾘﾝｼｬﾖｳ                 ","5","5","ケ　　　","ｹ  ","0","830","896.4","4150","4482","332","1","0.08","1436","1550","0","0","0","0","0",,"      ","      ","     ","16100110","0","130","玖珂店　　　　　　　","ｸｶﾞﾃﾝ         ","1","資材館","ｼｻﾞｲｶﾝ","0","0","0","　　　　　　　　　　","               "
"20160602","200703","4","Ｋナフコ　　　　　　","ｶ) ﾅﾌｺ         ","130","玖珂店　　　　　　　","ｸｶﾞﾃﾝ         ","249706","㈱ジー・オー・ディ　","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ ","249706","1","1874622","1","20160602","20160604","20160803","0","30","広告　","0","0","9","エクステリア　　　　","ｴｸｽﾃﾘｱ         ","8","7","0","0","4573244730010","20452438",,,"チューブタイヤ　　　","ﾁｭｰﾌﾞﾀｲﾌﾟ                ","一輪車用　　　　　　","ｲﾁﾘﾝｼｬﾖｳ                 ","5","5","ケ　　　","ｹ  ","0","499","538.92","2495","2694","199","1","0.08","832","898","0","0","0","0","0",,"      ","      ","     ","16110110","0","130","玖珂店　　　　　　　","ｸｶﾞﾃﾝ         ","1","資材館","ｼｻﾞｲｶﾝ","0","0","0","　　　　　　　　　　","               "
"20160602","200703","4","Ｋナフコ　　　　　　","ｶ) ﾅﾌｺ         ","197","福岡空港店　　　　　","ﾌｸｵｶｸｳｺｳﾃﾝ    ","249706","㈱ジー・オー・ディ　","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ ","249706","1","2346794","1","20160602","20160604","20160803","0","30","広告　","0","0","9","エクステリア　　　　","ｴｸｽﾃﾘｱ         ","8","7","10","0","4573244730041","20452469",,,"浅型一輪車　　　　　","ｱｻｶﾞﾀｲﾁﾘﾝｼｬ              ","ノーパンク仕様　　　","ﾉｰﾊﾟﾝｸｼﾖｳ                ","5","5","ケ　　　","ｹ  ","0","2660","2872.8","13300","14364","1064","1","0.08","3408","3680","0","0","0","0","0",,"      ","      ","     ","16110110","0","197","福岡空港店　　　　　","ﾌｸｵｶｸｳｺｳﾃﾝ    "," ","　　　","      ","0","0","0","　　　　　　　　　　","               "
"20160602","220718","4","Ｋナフコ　　　　　　","ｶ) ﾅﾌｺ         ","392","湖南店　　　　　　　","ｺﾅﾝﾃﾝ         ","249706","㈱ジー・オー・ディ　","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ ","249706","1","2588331","1","20160602","20160605","20160804","0","30","広告　","0","0","9","エクステリア　　　　","ｴｸｽﾃﾘｱ         ","8","7","0","0","4573244730027","20452445",,,"ノーパンクタイヤ　　","ﾉｰﾊﾟﾝｸﾀｲﾔ                ","一輪車用　　　　　　","ｲﾁﾘﾝｼｬﾖｳ                 ","10","5","ケ　　　","ｹ  ","0","830","896.4","8300","8964","664","1","0.08","1436","1550","0","0","0","0","0",,"      ","      ","     ","16100110","0","392","湖南店　　　　　　　","ｺﾅﾝﾃﾝ         "," ","　　　","      ","0","0","0","　　　　　　　　　　","               "
"20160602","220718","4","Ｋナフコ　　　　　　","ｶ) ﾅﾌｺ         ","392","湖南店　　　　　　　","ｺﾅﾝﾃﾝ         ","249706","㈱ジー・オー・ディ　","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ ","249706","1","2588342","1","20160602","20160605","20160804","0","30","広告　","0","0","9","エクステリア　　　　","ｴｸｽﾃﾘｱ         ","8","7","0","0","4573244730010","20452438",,,"チューブタイヤ　　　","ﾁｭｰﾌﾞﾀｲﾌﾟ                ","一輪車用　　　　　　","ｲﾁﾘﾝｼｬﾖｳ                 ","10","5","ケ　　　","ｹ  ","0","499","538.92","4990","5389","399","1","0.08","832","898","0","0","0","0","0",,"      ","      ","     ","16110110","0","392","湖南店　　　　　　　","ｺﾅﾝﾃﾝ         "," ","　　　","      ","0","0","0","　　　　　　　　　　","               "
"20160602","220718","4","Ｋナフコ　　　　　　","ｶ) ﾅﾌｺ         ","40","大村店　　　　　　　","ｵｵﾑﾗﾃﾝ        ","249706","㈱ジー・オー・ディ　","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ ","249706","1","3377220","1","20160602","20160604","20160803","0","10","補充　","0","0","9","エクステリア　　　　","ｴｸｽﾃﾘｱ         ","7","9","9","0","2100205043661","20504366",,,"コンクリ縁石６００　","ｺﾝｸﾘｰﾄﾌﾁｲｼ600 100x150    ","１００ｘ１５０　　　","100X150X600 ﾔｸ21kg       ","27","27","ケ　　　","ｹ  ","0","475","513","12825","13851","1026","1","0.08","616","665","0","0","0","0","0",,"      ","      ","     ","0","0","40","大村店　　　　　　　","ｵｵﾑﾗﾃﾝ        "," ","　　　","      ","0","0","0","　　　　　　　　　　","               "
"20160602","220718","4","Ｋナフコ　　　　　　","ｶ) ﾅﾌｺ         ","40","大村店　　　　　　　","ｵｵﾑﾗﾃﾝ        ","249706","㈱ジー・オー・ディ　","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ ","249706","1","3377231","1","20160602","20160604","20160803","0","10","補充　","0","0","9","エクステリア　　　　","ｴｸｽﾃﾘｱ         ","7","9","9","0","2100205046259","20504625",,,"フェンス基礎Ｈ３００","ﾌｪﾝｽｷｿ H-300             ","１５０ｘ１５０　　　","150X150X300 ﾔｸ11kg       ","24","24","ケ　　　","ｹ  ","0","380","410.4","9120","9849","729","1","0.08","644","695","0","0","0","0","0",,"      ","      ","     ","0","0","40","大村店　　　　　　　","ｵｵﾑﾗﾃﾝ        "," ","　　　","      ","0","0","0","　　　　　　　　　　","               "
"20160602","220718","4","Ｋナフコ　　　　　　","ｶ) ﾅﾌｺ         ","40","大村店　　　　　　　","ｵｵﾑﾗﾃﾝ        ","249706","㈱ジー・オー・ディ　","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ ","249706","1","3377242","1","20160602","20160604","20160803","0","10","補充　","0","0","9","エクステリア　　　　","ｴｸｽﾃﾘｱ         ","7","10","9","0","2100205041995","20504199",,,"溜桝落蓋式３００本体","ﾀﾒﾏｽｵﾄｼﾌﾞﾀｼｷ300ﾎﾝﾀｲ      ","内径約３００×３３０","ﾅｲｹｲﾔｸ300*300*397 ﾔｸ60kg ","2","1","ケ　　　","ｹ  ","0","1350","1458","2700","2916","216","1","0.08","1667","1800","0","0","0","0","0",,"      ","      ","     ","0","0","40","大村店　　　　　　　","ｵｵﾑﾗﾃﾝ        "," ","　　　","      ","0","0","0","　　　　　　　　　　","               "
"20160602","220718","4","Ｋナフコ","ｶ) ﾅﾌｺ","36","伊万里店","ｲﾏﾘﾃﾝ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","1","7588965","1","20160602","20160604","20160803","0","40","客注","0","0","9","エクステリア","ｴｸｽﾃﾘｱ","7","9","0","0","2100205047003","20504700","2203690015062       "," ","スペーサー５０個入り","ｽﾍﾟｰｻｰ50ｺｲﾘ","約４０Ｘ５０Ｘ６０　","40X50X60 ﾔｸ13kg","30","2","ケ　","ｹ  ","0","700","756","21000","22680","1680","1","0.08","1093","1180","0","0","0","0","0",," "," "," ","0","0","36","伊万里店","ｲﾏﾘﾃﾝ"," ","　"," ","0","0","0","　　　　　　　　　　","               "

